Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (661)",,,"Reconstruction Position - Unlabeled Track (685)",,,"Reconstruction Position - Unlabeled Track (687)",,,"Reconstruction Position - Unlabeled Track (698)",,,"Reconstruction Position - Unlabeled Track (699)",,,"Reconstruction Position - Unlabeled Track (701)",,,"Reconstruction Position - Unlabeled Track (702)",,,"Reconstruction Position - Unlabeled Track (703)",,,"Reconstruction Position - Unlabeled Track (704)",,,"Reconstruction Position - Unlabeled Track (707)",,,"Reconstruction Position - Unlabeled Track (708)",,,"Reconstruction Position - Unlabeled Track (709)",,,"Reconstruction Position - Unlabeled Track (710)",,,"Reconstruction Position - Unlabeled Track (711)",,
,,"TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ"
Frames,Frames,"mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm"
26,0,"-1081.93","-594.741","1492.26","-1171.52","-761.236","1227.08","-1206.29","-680.427","1046.37","-1244.55","-473.147","592.26","-1271.37","-503.014","189.477","-1471.65","-873.575","259.716","-1241.44","-705.776","554.817","-1106.25","-797.427","971.418","-1121.09","-419.254","1280.73","-1152.72","-196.872","1630.2","-1347.66","-257.547","837.053","-1292.88","-220.359","1401.72","nan","nan","nan","nan","nan","nan"
27,0,"-1081.38","-594.468","1491.86","-1170.33","-760.611","1226.05","-1206.57","-680.955","1046.45","-1244.19","-472.896","592.455","-1271.31","-502.885","189.462","-1471.16","-873.741","259.647","-1240.77","-705.153","554.395","-1105.8","-794.813","970.027","-1121.23","-419.5","1280.37","-1151.99","-196.824","1629.66","-1345.57","-257.015","836.606","-1292.87","-220.483","1401.27","nan","nan","nan","nan","nan","nan"
28,0,"-1080.89","-594.276","1491.46","-1168.98","-759.94","1224.94","-1206.83","-681.391","1046.4","-1243.69","-472.741","592.537","-1271.17","-502.632","189.454","-1470.85","-873.69","259.87","-1240.48","-705.075","554.744","-1105.26","-792.157","968.5","-1121.43","-419.778","1279.93","-1151.08","-196.789","1629.01","-1343.31","-256.619","836","-1292.81","-220.628","1400.78","nan","nan","nan","nan","nan","nan"
29,0,"-1080.42","-594.156","1491.02","-1167.49","-759.341","1223.81","-1207.84","-682.139","1046.54","-1243.27","-472.571","592.802","-1271.05","-502.394","189.511","-1470.4","-873.645","259.972","-1239.76","-704.356","554.468","-1104.62","-789.678","967.042","-1122.71","-421.085","1279.82","-1150.07","-196.765","1628.28","-1340.76","-256.165","835.467","-1292.71","-220.768","1400.22","nan","nan","nan","nan","nan","nan"
30,0,"-1080.02","-594.081","1490.55","-1165.86","-758.669","1222.6","-1208.68","-683.519","1047.11","-1242.75","-472.39","593.077","-1270.91","-502.25","189.434","-1469.96","-873.491","260.039","-1238.96","-703.641","554.107","-1103.95","-787.142","965.494","-1122.98","-421.536","1279.4","-1148.87","-196.809","1627.43","-1338.11","-255.687","834.941","-1292.55","-220.922","1399.61","nan","nan","nan","nan","nan","nan"
31,0,"-1079.71","-594.046","1490.11","-1164.2","-757.992","1221.37","-1208.93","-684.185","1047.13","-1241.99","-472.201","593.253","-1270.79","-502.193","189.386","-1469.53","-873.093","260.044","-1238.09","-702.987","553.712","-1103.21","-784.63","963.856","-1123.42","-422.193","1279.05","-1147.59","-196.851","1626.54","-1335.24","-255.274","834.179","-1292.38","-221.074","1399.01","nan","nan","nan","nan","nan","nan"
32,0,"-1079.44","-594.088","1489.7","-1162.57","-757.241","1220.05","-1209.09","-684.724","1046.96","-1241.3","-472.047","593.48","-1270.58","-501.873","189.326","-1469.06","-872.922","260.287","-1237.24","-702.431","553.549","-1102.33","-782.279","962.362","-1123.89","-422.889","1278.75","-1146.13","-196.943","1625.5","-1332.36","-254.804","833.651","-1292.1","-221.243","1398.29","nan","nan","nan","nan","nan","nan"
33,0,"-1079.22","-594.176","1489.3","-1160.99","-756.432","1218.67","-1209.6","-685.476","1046.95","-1240.61","-471.945","593.764","-1270.36","-501.59","189.296","-1468.54","-872.414","260.412","-1236.43","-701.989","553.498","-1101.39","-779.727","960.674","-1124.47","-423.732","1278.46","-1144.63","-197.063","1624.4","-1329.29","-254.342","833.022","-1291.83","-221.418","1397.61","nan","nan","nan","nan","nan","nan"
34,0,"-1079.03","-594.318","1488.9","-1159.52","-755.582","1217.23","-1210.34","-686.551","1047.12","-1239.83","-471.877","593.971","-1270.12","-501.586","189.104","-1467.92","-872.006","260.376","-1235.5","-701.511","553.459","-1100.27","-777.269","959.179","-1125.05","-424.64","1278.2","-1143.05","-197.212","1623.18","-1326.17","-253.89","832.239","-1291.43","-221.652","1396.81","nan","nan","nan","nan","nan","nan"
35,0,"-1078.94","-594.552","1488.53","-1158.17","-754.764","1215.78","-1211.03","-687.441","1047.03","-1239.07","-471.84","594.207","-1269.88","-501.269","189.228","-1467.32","-871.484","260.512","-1234.22","-700.783","553.129","-1099.12","-774.598","957.571","-1125.72","-425.698","1277.96","-1141.41","-197.45","1621.9","-1323.07","-253.376","831.47","-1290.96","-221.913","1395.94","nan","nan","nan","nan","nan","nan"
36,0,"-1078.91","-594.849","1488.19","-1156.93","-753.895","1214.26","-1211.93","-688.467","1047.17","-1238.36","-471.942","594.575","-1269.79","-501.334","189.342","-1466.6","-871.049","260.513","-1233.2","-700.647","552.996","-1097.76","-771.848","955.949","-1126.37","-426.877","1277.72","-1139.72","-197.767","1620.52","-1319.85","-252.867","830.608","-1290.46","-222.181","1395.07","nan","nan","nan","nan","nan","nan"
37,0,"-1078.91","-595.21","1487.85","-1155.79","-752.994","1212.66","-1212.78","-689.551","1047.25","-1237.6","-472.092","594.653","-1269.54","-501.326","189.197","-1465.7","-870.704","260.406","-1232.12","-700.411","553.034","-1096.32","-769.008","954.449","-1127.04","-428.106","1277.51","-1138.02","-198.123","1619.11","-1316.66","-252.274","829.853","-1289.89","-222.479","1394.07","nan","nan","nan","nan","nan","nan"
38,0,"-1078.94","-595.651","1487.58","-1154.73","-752.173","1211.12","-1213.68","-690.635","1047.32","-1236.99","-472.352","594.933","-1269.17","-501.033","189.246","-1464.98","-870.165","260.448","-1230.93","-700.314","553.129","-1094.85","-765.904","952.911","-1127.66","-429.425","1277.32","-1136.06","-198.582","1617.28","-1313.4","-251.605","829.164","-1289.24","-222.9","1393.06","nan","nan","nan","nan","nan","nan"
39,0,"-1079.16","-596.215","1487.35","-1153.72","-751.256","1209.52","-1214.66","-691.718","1047.4","-1236.3","-472.59","595.137","-1268.89","-501.061","189.171","-1463.34","-870.445","259.623","-1229.65","-700.193","553.107","-1093.32","-762.623","951.319","-1128.22","-430.811","1277.14","-1134.38","-199.016","1615.81","-1310.1","-250.781","828.377","-1288.44","-223.388","1392","nan","nan","nan","nan","nan","nan"
40,0,"-1079.48","-596.841","1487.18","-1152.76","-750.448","1207.98","-1215.73","-692.976","1047.75","-1236.24","-473.164","595.367","-1268.59","-501.043","189.189","-1462.37","-870.132","259.682","-1228.46","-700.022","553.115","-1091.66","-759.306","949.896","-1128.75","-432.215","1276.97","-1132.74","-199.553","1614.34","-1306.69","-249.776","827.541","-1287.72","-223.955","1391.02","nan","nan","nan","nan","nan","nan"
41,0,"-1079.94","-597.625","1487.05","-1151.79","-749.652","1206.43","-1216.68","-694.11","1047.78","-1235.01","-473.221","595.81","-1268.32","-501.038","189.235","-1461.4","-869.809","259.664","-1227.12","-699.991","553.11","-1090.05","-755.583","948.336","-1129.17","-433.649","1276.83","-1131.18","-200.178","1612.84","-1303.11","-248.627","826.501","-1286.87","-224.635","1389.85","nan","nan","nan","nan","nan","nan"
42,0,"-1080.46","-598.46","1486.94","-1150.88","-748.994","1204.94","-1217.74","-695.113","1047.93","-1234.44","-473.507","596.087","-1268.29","-501.114","189.786","-1460.31","-869.529","259.622","-1225.95","-700.265","553.723","-1088.4","-751.732","946.804","-1129.53","-435.167","1276.64","-1129.73","-200.894","1611.37","-1299.51","-247.294","825.53","-1286.06","-225.344","1388.76","nan","nan","nan","nan","nan","nan"
43,0,"-1081.19","-599.462","1486.87","-1149.94","-748.593","1203.61","-1218.8","-696.47","1048.29","-1234","-473.875","596.431","-1267.76","-501.138","189.263","-1459.68","-869","259.95","-1224.76","-700.253","553.886","-1086.71","-747.685","945.285","-1129.86","-436.78","1276.5","-1128.34","-201.672","1609.88","-1295.8","-245.791","824.571","-1285.07","-226.187","1387.52","nan","nan","nan","nan","nan","nan"
44,0,"-1081.97","-600.608","1486.88","-1148.85","-747.775","1202.06","-1219.63","-697.422","1048.17","-1233.53","-474.322","596.65","-1267.35","-501.104","189.046","-1458.32","-869.166","259.52","-1223.28","-700.219","553.417","-1084.97","-743.511","943.826","-1130.16","-438.528","1276.46","-1127.04","-202.561","1608.42","-1292.05","-244.098","823.451","-1284.03","-227.091","1386.29","nan","nan","nan","nan","nan","nan"
45,0,"-1082.92","-601.756","1486.84","-1147.53","-746.64","1200.36","-1220.69","-698.213","1048.31","-1233.19","-474.757","596.911","-1267.26","-501.289","189.469","-1457.28","-869.017","259.372","-1222.2","-699.974","552.931","-1083.28","-739.12","942.297","-1130.5","-440.382","1276.39","-1125.81","-203.526","1607.01","-1288.4","-242.203","822.567","-1282.95","-228.076","1385.09","nan","nan","nan","nan","nan","nan"
46,0,"-1083.89","-603.008","1486.82","-1146.35","-745.706","1198.73","-1221.41","-698.881","1047.81","-1232.9","-475.221","597.093","-1266.85","-501.354","189.192","-1456.69","-868.605","259.596","-1221.19","-700.431","553.677","-1081.52","-734.649","940.884","-1130.93","-442.408","1276.41","-1124.66","-204.57","1605.55","-1284.8","-240.153","821.64","-1281.86","-229.124","1383.89","nan","nan","nan","nan","nan","nan"
47,0,"-1085.02","-604.317","1486.9","-1145.18","-744.739","1197.07","-1222.4","-700.161","1048.07","-1232.65","-475.84","597.321","-1266.59","-501.591","189.17","-1455.43","-868.963","259.125","-1220.36","-700.583","553.932","-1079.77","-729.977","939.507","-1131.41","-444.568","1276.5","-1123.62","-205.729","1604.2","-1281.14","-237.854","820.868","-1280.83","-230.236","1382.83","nan","nan","nan","nan","nan","nan"
48,0,"-1086.2","-605.669","1486.94","-1144.1","-743.706","1195.36","-1223.39","-701.164","1048.1","-1232.48","-476.565","597.535","-1266.31","-501.835","189.19","-1455.01","-868.767","259.461","-1219.57","-700.667","554","-1077.93","-725.095","938.16","-1132","-446.888","1276.7","-1122.65","-207.01","1602.92","-1277.38","-235.343","820.038","-1279.83","-231.464","1381.79","nan","nan","nan","nan","nan","nan"
