Frame,Sub Frame,"Position - max4",,,"Rotation (Helical) - max4",,
,,"TX","TY","TZ","RX","RY","RZ"
Frames,Frames,"mm","mm","mm","°","°","°"
145,0,"-114.78","-422.607","884.688","5.97064","-6.94337","-7.27755"
146,0,"-114.755","-422.414","885.497","5.8903","-6.68228","-7.30516"
147,0,"-114.776","-422.164","886.298","5.78147","-6.46794","-7.32535"
148,0,"-114.815","-421.839","887.103","5.67165","-6.22775","-7.35088"
149,0,"-114.862","-421.422","887.929","5.5629","-5.95926","-7.37968"
150,0,"-114.996","-420.927","888.766","5.41426","-5.77325","-7.38578"
151,0,"-115.161","-420.353","889.604","5.24641","-5.58804","-7.38821"
152,0,"-115.35","-419.686","890.472","5.08027","-5.39112","-7.393"
153,0,"-115.602","-418.974","891.353","4.88056","-5.25711","-7.37888"
154,0,"-115.863","-418.201","892.265","4.66591","-5.13225","-7.36849"
155,0,"-116.095","-417.419","893.199","4.44958","-5.00063","-7.35001"
156,0,"-116.376","-416.579","894.196","4.20008","-4.91824","-7.33138"
157,0,"-116.631","-415.739","895.204","3.98564","-4.75299","-7.32485"
158,0,"-116.963","-414.852","896.249","3.70779","-4.71166","-7.29512"
159,0,"-117.295","-413.916","897.336","3.46866","-4.56995","-7.28186"
160,0,"-117.659","-412.935","898.445","3.21138","-4.45056","-7.25873"
161,0,"-118.013","-411.924","899.559","2.98375","-4.25566","-7.24581"
162,0,"-118.404","-410.839","900.692","2.6985","-4.17688","-7.20136"
163,0,"-118.77","-409.744","901.813","2.44616","-4.00562","-7.16719"
164,0,"-119.205","-408.546","902.999","2.09064","-4.04932","-7.07826"
165,0,"-119.544","-407.371","904.166","1.82267","-3.88557","-7.0278"
166,0,"-120.014","-405.477","905.523","1.60677","-3.81039","-6.81253"
167,0,"-120.244","-404.234","906.697","1.36547","-3.55009","-6.77679"
168,0,"-119.664","-402.278","906.028","0.68084","-3.19321","-6.78537"
169,0,"-119.993","-400.927","907.2","0.389795","-3.08449","-6.70347"
170,0,"-120.207","-399.483","908.419","0.16827","-2.82649","-6.66157"
171,0,"-120.422","-398.086","909.576","-0.0544284","-2.62584","-6.59676"
172,0,"-120.711","-396.635","910.692","-0.372275","-2.64568","-6.4809"
173,0,"-120.953","-395.14","911.778","-0.659653","-2.63406","-6.3713"
